date,open,high,low,close,unit_volume,bitmex_funding
20170924,3796.15,3796.15,3666.9,3682.84,208.5387842,-0.004308
20170925,3681.58,3950.25,3681.58,3926.07,350.0217897,0.000321
20170926,3928.41,3969.89,3869.9,3892.35,268.151639,0.003309
20170927,3892.94,4210.05,3884.82,4200.67,401.5740346,0.003873
20170928,4197.13,4279.31,4109.7,4174.73,410.1630525,0.0003
20170929,4171.62,4214.63,4039.29,4163.07,328.3754498,0.005922
20170930,4166.11,4358.43,4160.86,4338.71,278.2970016,0.008868
20171001,4341.05,4403.74,4269.81,4403.74,274.3599867,-0.000831
20171002,4395.81,4470.23,4377.46,4409.32,324.7054076,0.0003
20171003,4408.46,4432.47,4258.89,4317.48,298.3267943,-0.003903
20171004,4319.37,4352.31,4210.42,4229.36,264.0517828,-0.003342
20171005,4229.88,4362.64,4164.05,4328.41,268.4057157,-0.001833
20171006,4324.46,4413.27,4320.53,4370.81,244.7921479,0.001806
20171007,4369.35,4443.88,4321.05,4426.89,204.8679773,0.0003
20171008,4429.67,4624.14,4405.64,4610.48,284.974656,0.00561
20171009,4614.52,4878.71,4564.25,4772.02,412.5590354,0.0003
20171010,4776.21,4922.17,4765.1,4781.99,333.9906541,0.01125
20171011,4789.25,4873.73,4751.63,4826.48,253.2445874,0.005007
20171012,4829.58,5446.91,4822,5446.91,512.5126194,0.01125
20171013,5464.16,5840.3,5436.85,5647.21,640.224122,0.01125
20171014,5643.53,5837.7,5591.64,5831.79,286.1951504,0.01125
20171015,5835.96,5852.48,5478.61,5678.19,348.005251,0.01125
20171016,5687.57,5776.23,5544.21,5725.59,350.718444,0.001584
20171017,5741.58,5800.35,5472.72,5605.51,324.9606277,0.001152
20171018,5603.82,5603.82,5151.44,5590.69,429.1545208,-0.001548
20171019,5583.74,5744.35,5531.06,5708.52,311.909222,0.005391
20171020,5708.11,6060.11,5627.23,6011.45,391.6575788,0.0003
20171021,5996.79,6194.88,5965.07,6031.6,365.9227906,0.005856
20171022,6036.66,6076.26,5792.34,6008.42,338.6297922,-0.003819
20171023,6006,6075.59,5732.47,5930.32,405.0102065,-0.002289
20171024,5935.52,5935.52,5504.18,5526.64,495.0023826,-0.003624
20171025,5524.6,5754.33,5397.88,5750.8,342.0376212,-0.004596
20171026,5747.95,5976.8,5721.22,5904.83,322.6240214,-0.00069
20171027,5899.74,5988.39,5728.82,5780.9,295.8241879,-0.000552
20171028,5787.82,5876.72,5689.19,5753.09,244.028861,-0.008109
20171029,5754.44,6255.71,5724.58,6153.85,464.5937096,0.000294
20171030,6114.85,6214.99,6040.85,6130.53,289.0696263,0.005868
20171031,6132.02,6470.43,6103.33,6468.4,357.3341117,0.002052
20171101,6440.97,6767.31,6377.88,6767.31,424.1449155,0.0003
20171102,6777.77,7367.33,6758.72,7078.5,657.4514714,-0.007266
20171103,7087.53,7461.29,7002.94,7207.76,467.5322286,0.003204
20171104,7164.48,7492.86,7031.28,7379.95,336.5605545,-0.002706
20171105,7404.52,7617.48,7333.19,7407.41,321.3552526,0.000591
20171106,7403.22,7445.77,7007.31,7022.76,443.1163679,-0.002256
20171107,7023.1,7253.32,7023.1,7144.38,325.6181916,-0.01056
20171108,7141.38,7776.42,7114.02,7459.69,616.9425357,0.001536
20171109,7446.83,7446.83,7101.52,7143.58,451.6292929,-0.000453
20171110,7173.73,7312,6436.87,6618.14,786.9658025,0.000159
20171111,6618.61,6873.15,6204.22,6357.6,772.0964188,-0.009156
20171112,6295.45,6625.05,5519.01,5950.07,1505.419245,-0.008136
20171113,5938.25,6811.19,5844.29,6559.49,954.8379401,-0.003942
20171114,6561.48,6764.98,6461.75,6635.75,481.8008539,-0.005178
20171115,6634.76,7342.25,6634.76,7315.54,574.2406067,-0.005058
20171116,7323.24,7967.38,7176.58,7871.69,650.9161047,0.000942
20171117,7853.57,8004.59,7561.09,7708.99,603.4084901,0.004401
20171118,7697.21,7884.99,7463.44,7790.15,470.7470352,-0.000315
20171119,7766.03,8101.91,7694.1,8036.49,391.8775406,0.004557
20171120,8039.07,8336.86,7949.36,8200.64,425.3875366,0.008322
20171121,8205.74,8348.66,7762.71,8071.26,529.9804472,0.0003
20171122,8077.95,8302.26,8075.47,8253.55,440.2384564,-0.000378
20171123,8232.38,8267.4,8038.77,8038.77,525.6002976,-0.002001
20171124,8074.02,8374.16,7940.93,8253.69,612.8907405,-0.006066
20171125,8241.71,8790.92,8191.15,8790.92,493.9255541,0.008073
20171126,8789.04,9522.93,8775.59,9330.55,586.8442808,-0.001188
20171127,9352.72,9818.35,9352.72,9818.35,575.7912676,0.007887
20171128,9823.43,10125.7,9736.3,10058.8,631.170713,0.007677
20171129,10077.4,11517.4,9601.03,9888.61,1169.91162,0.010776
20171130,9906.79,10801,9202.05,10233.6,812.0983615,0.0003
20171201,10198.6,11046.7,9694.65,10975.6,618.0181377,0.0003
20171202,10978.3,11320.2,10905.1,11074.6,463.9896787,0.002163
20171203,11082.7,11858.7,10862,11323.2,583.6079695,0.007023
20171204,11315.4,11657.2,11081.8,11657.2,526.0619922,0.001215
20171205,11685.7,12032,11604.6,11916.7,578.6216117,0.006141
20171206,11923.4,14369.1,11923.4,14291.5,885.5823414,0.002397
20171207,14266.1,17899.7,14057.3,17899.7,1002.849183,0.0003
20171208,17802.9,18353.4,14336.9,16569.4,1275.604366,0.01125
20171209,16523.3,16783,13674.9,15178.2,916.5316109,0.01125
20171210,15168.4,15850.6,13226.6,15455.4,869.1654676,0.01125
20171211,15427.4,17513.9,15404.8,16936.8,717.603091,0.01125
20171212,16919.8,17781.8,16571.6,17415.4,838.556654,0.01125
20171213,17500,17653.1,16039.7,16408.2,790.8789566,0.01125
20171214,16384.6,17085.8,16185.9,16564,831.7676774,0.007908
20171215,16601.3,18154.1,16601.3,17706.9,808.1595093,0.01125
20171216,17760.3,19716.7,17515.3,19497.4,653.4512195,0.01125
20171217,19475.8,20089,18974.1,19140.8,695.6135551,0.01125
20171218,19106.4,19371,18355.9,19114.2,776.359972,0.003591
20171219,19118.3,19177.8,17275.4,17776.7,950.3732324,0.01125
20171220,17760.3,17934.7,16077.7,16624.6,1332.344813,0.000102
20171221,16642.4,17567.7,15342.7,15802.9,1045.162585,0.01125
20171222,15898,15943.4,11833,13831.8,1604.852558,0.007386
20171223,13948.7,15603.2,13828.8,14699.2,890.2525395,-0.01125
20171224,14608.2,14626,12747.7,13925.8,830.9971259,-0.01125
20171225,13995.9,14593,13448.9,14026.6,760.3196715,-0.00066
20171226,14036.6,16461.2,14028.9,16099.8,835.6811985,0
20171227,16163.5,16930.9,15114.3,15838.5,788.4332562,0.01125
20171228,15864.1,15888.4,13937.3,14606.5,844.5897177,-0.001221
20171229,14695.8,15279,14307,14656.2,888.7365183,0.006435
20171230,14681.9,14681.9,12350.1,12952.2,1115.841309,-0.01125
20171231,12897.7,14377.4,12755.6,14156.4,857.3012574,-0.004662
20180101,14112.2,14112.2,13154.7,13657.2,753.5365961,0.002445
20180102,13625,15444.6,13163.6,14982.1,1124.448521,0.0018
20180103,14978.2,15572.8,14844.5,15201,1109.92041,0.01125
20180104,15270.7,15739.7,14522.2,15599.2,1396.43057,0.003195
20180105,15477.2,17705.2,15202.8,17429.5,1367.847561,0.007272
20180106,17462.1,17712.4,16764.6,17527,1044.936409,0.001698
20180107,17527.3,17579.6,16087.7,16477.6,962.8829674,0.009849
20180108,16476.2,16537.9,14208.2,15170.1,1213.828503,0.007044
20180109,15123.7,15497.5,14424,14595.4,1141.45551,0.0003
20180110,14588.5,14973.3,13691.2,14973.3,1235.586044,0.0003
20180111,14968.2,15018.8,13105.9,13405.8,1233.354217,0.0003
20180112,13453.9,14229.9,13158.1,13980.6,863.0316181,-0.001245
20180113,13952.4,14659.5,13952.4,14360.2,888.8176956,0.00555
20180114,14370.8,14511.8,13268,13772,804.8286076,-0.00126
20180115,13767.3,14445.5,13641.7,13819.8,922.6472071,0.000606
20180116,13836.1,13843.1,10194.9,11490.5,1640.816321,-0.01125
20180117,11431.1,11678,9402.29,11188.6,1683.016659,-0.007278
20180118,11198.8,12107.3,10942.5,11474.9,1308.978694,-0.002481
20180119,11429.8,11992.8,11172.1,11607.4,925.3062812,0.001092
20180120,11656.2,13103,11656.2,12899.2,914.9172315,0.001701
20180121,12889.2,12895.9,11288.2,11600.1,856.4736318,-0.002382
20180122,11633.1,11966.4,10240.2,10931.4,963.9570705,-0.001455
20180123,10944.5,11377.6,10129.7,10868.4,888.8713643,-0.004869
20180124,10903.4,11501.4,10639.8,11359.4,875.1333655,0.0003
20180125,11421.7,11785.7,11057.4,11259.4,788.0677407,0.0003
20180126,11256,11656.7,10470.3,11171.4,872.424186,-0.00108
20180127,11174.9,11614.9,10989.2,11440.7,662.832684,0.00537
20180128,11475.3,12040.3,11475.3,11786.3,708.4801901,0.01125
20180129,11755.5,11875.6,11179.2,11296.4,629.1703325,0.005106
20180130,11306.8,11307.2,10036.2,10106.3,854.7005175,0.0003
20180131,10108.2,10381.6,9777.42,10221.1,786.7216045,-0.002838
20180201,10237.3,10288.8,8812.28,9170.54,1086.021156,-0.005142
20180202,9142.28,9142.28,7796.49,8830.75,1441.202583,0.002421
20180203,8852.12,9430.75,8251.63,9174.91,791.7015077,-0.003099
